Id,Type,phylum
(c)Alphaproteobacteria,genus,Proteobacteria
(c)Betaproteobacteria,genus,Proteobacteria
(c)Gammaproteobacteria,genus,Proteobacteria
(c)Gemm-3,genus,Gemmatimonadetes
(c)ML635J-21,genus,Cyanobacteria
(f)[Chromatiaceae],genus,Proteobacteria
(f)[Exiguobacteraceae],genus,Firmicutes
(f)[Weeksellaceae],genus,Bacteroidetes
(f)Acetobacteraceae,genus,Proteobacteria
(f)Aerococcaceae,genus,Firmicutes
(f)Alcaligenaceae,genus,Proteobacteria
(f)Bacillaceae,genus,Firmicutes
(f)Beijerinckiaceae,genus,Proteobacteria
(f)Beutenbergiaceae,genus,Actinobacteria
(f)Bradyrhizobiaceae,genus,Proteobacteria
(f)Caulobacteraceae,genus,Proteobacteria
(f)Chitinophagaceae,genus,Bacteroidetes
(f)Comamonadaceae,genus,Proteobacteria
(f)Cyclobacteriaceae,genus,Bacteroidetes
(f)Enterobacteriaceae,genus,Proteobacteria
(f)Enterococcaceae,genus,Firmicutes
(f)Erythrobacteraceae,genus,Proteobacteria
(f)Flammeovirgaceae,genus,Bacteroidetes
(f)Fusobacteriaceae,genus,Fusobacteria
(f)Gemmataceae,genus,Planctomycetes
(f)Intrasporangiaceae,genus,Actinobacteria
(f)Isosphaeraceae,genus,Planctomycetes
(f)Lachnospiraceae,genus,Firmicutes
(f)Lactobacillaceae,genus,Firmicutes
(f)Methylobacteriaceae,genus,Proteobacteria
(f)Micrococcaceae,genus,Actinobacteria
(f)Moraxellaceae,genus,Proteobacteria
(f)Neisseriaceae,genus,Proteobacteria
(f)Oxalobacteraceae,genus,Proteobacteria
(f)Paenibacillaceae,genus,Firmicutes
(f)Patulibacteraceae,genus,Actinobacteria
(f)Phormidiaceae,genus,Cyanobacteria
(f)Pirellulaceae,genus,Planctomycetes
(f)Piscirickettsiaceae,genus,Proteobacteria
(f)Planococcaceae,genus,Firmicutes
(f)Pseudomonadaceae,genus,Proteobacteria
(f)Rhizobiaceae,genus,Proteobacteria
(f)Rhodobacteraceae,genus,Proteobacteria
(f)Rhodocyclaceae,genus,Proteobacteria
(f)Rhodospirillaceae,genus,Proteobacteria
(f)Saprospiraceae,genus,Bacteroidetes
(f)Sphingobacteriaceae,genus,Bacteroidetes
(f)Sphingomonadaceae,genus,Proteobacteria
(f)Xanthomonadaceae,genus,Proteobacteria
(g)Abiotrophia,genus,Firmicutes
(g)Achromobacter,genus,Proteobacteria
(g)Acidithiobacillus,genus,Proteobacteria
(g)Acinetobacter,genus,Proteobacteria
(g)Actinomyces,genus,Actinobacteria
(g)Aerococcus,genus,Firmicutes
(g)Aeromonas,genus,Proteobacteria
(g)Albidovulum,genus,Proteobacteria
(g)Alkanindiges,genus,Proteobacteria
(g)Anoxybacillus,genus,Firmicutes
(g)Arcobacter,genus,Proteobacteria
(g)Arthrobacter,genus,Actinobacteria
(g)Asticcacaulis,genus,Proteobacteria
(g)Atopostipes,genus,Firmicutes
(g)Aurantimonas,genus,Proteobacteria
(g)Bacillus,genus,Firmicutes
(g)Bacteroides,genus,Bacteroidetes
(g)Bdellovibrio,genus,Proteobacteria
(g)Bergeyella,genus,Bacteroidetes
(g)Blastococcus,genus,Actinobacteria
(g)Bordetella,genus,Proteobacteria
(g)Brevibacillus,genus,Firmicutes
(g)Brevundimonas,genus,Proteobacteria
(g)Campylobacter,genus,Proteobacteria
(g)Caulobacter,genus,Proteobacteria
(g)Cellvibrio,genus,Proteobacteria
(g)Chelatococcus,genus,Proteobacteria
(g)Clostridium,genus,Firmicutes
(g)Corynebacterium,genus,Actinobacteria
(g)Dechloromonas,genus,Proteobacteria
(g)Deinococcus,genus,[Thermi]
(g)Dyadobacter,genus,Bacteroidetes
(g)Dysgonomonas,genus,Bacteroidetes
(g)Elizabethkingia,genus,Bacteroidetes
(g)Enhydrobacter,genus,Proteobacteria
(g)Enterococcus,genus,Firmicutes
(g)Erysipelothrix,genus,Firmicutes
(g)Flavobacterium,genus,Bacteroidetes
(g)Geobacillus,genus,Firmicutes
(g)Granulicatella,genus,Firmicutes
(g)Halomonas,genus,Proteobacteria
(g)Herbaspirillum,genus,Proteobacteria
(g)Hydrogenophilus,genus,Proteobacteria
(g)Hymenobacter,genus,Bacteroidetes
(g)Hyphomicrobium,genus,Proteobacteria
(g)Isobaculum,genus,Firmicutes
(g)Kocuria,genus,Actinobacteria
(g)Lacticigenium,genus,Firmicutes
(g)Lactobacillus,genus,Firmicutes
(g)Legionella,genus,Proteobacteria
(g)Leifsonia,genus,Actinobacteria
(g)Limnobacter,genus,Proteobacteria
(g)Lysobacter,genus,Proteobacteria
(g)Massilia,genus,Proteobacteria
(g)Meiothermus,genus,[Thermi]
(g)Methylobacterium,genus,Proteobacteria
(g)Micrococcus,genus,Actinobacteria
(g)Microlunatus,genus,Actinobacteria
(g)Morganella,genus,Proteobacteria
(g)Mucilaginibacter,genus,Bacteroidetes
(g)Mycobacterium,genus,Actinobacteria
(g)Myroides,genus,Bacteroidetes
(g)Naxibacter,genus,Proteobacteria
(g)Neisseria,genus,Proteobacteria
(g)Nitrobacteria,genus,Proteobacteria
(g)Nocardiopsis,genus,Actinobacteria
(g)Nostocoida,genus,Planctomycetes
(g)Novosphingobium,genus,Proteobacteria
(g)Oceanobacillus,genus,Firmicutes
(g)Ornithinimicrobium,genus,Actinobacteria
(g)Paenibacillus,genus,Firmicutes
(g)Paracoccus,genus,Proteobacteria
(g)Pediococcus,genus,Firmicutes
(g)Pedobacter,genus,Bacteroidetes
(g)Pelomonas,genus,Proteobacteria
(g)Peptoniphilus,genus,Firmicutes
(g)Planctomyces,genus,Planctomycetes
(g)Pontibacter,genus,Bacteroidetes
(g)Porphyromonas,genus,Bacteroidetes
(g)Prevotella,genus,Bacteroidetes
(g)Propionibacterium,genus,Actinobacteria
(g)Propionicimonas,genus,Actinobacteria
(g)Proteiniclasticum,genus,Firmicutes
(g)Proteus,genus,Proteobacteria
(g)Providencia,genus,Proteobacteria
(g)Pseudochrobactrum,genus,Proteobacteria
(g)Pseudoxanthomonas,genus,Proteobacteria
(g)Psychrobacter,genus,Proteobacteria
(g)Pusillimonas,genus,Proteobacteria
(g)Rheinheimera,genus,Proteobacteria
(g)Rhizobium,genus,Proteobacteria
(g)Rhodopseudomonas,genus,Proteobacteria
(g)Roseomonas,genus,Proteobacteria
(g)Rothia,genus,Actinobacteria
(g)Salinarimonas,genus,Proteobacteria
(g)Serpens,genus,Proteobacteria
(g)Serratia,genus,Proteobacteria
(g)Sphingobacterium,genus,Bacteroidetes
(g)Sphingobium,genus,Proteobacteria
(g)Sphingomonas,genus,Proteobacteria
(g)Staphylococcus,genus,Firmicutes
(g)Stenotrophomonas,genus,Proteobacteria
(g)Streptococcus,genus,Firmicutes
(g)Succinispira,genus,Firmicutes
(g)Synechococcus,genus,Cyanobacteria
(g)Tetrasphaera,genus,Actinobacteria
(g)Thermobacillus,genus,Firmicutes
(g)Thermomonas,genus,Proteobacteria
(g)Trachelomonas,genus,Bacteroidetes
(g)Truepera,genus,[Thermi]
(g)Wautersiella,genus,Bacteroidetes
(g)Weissella,genus,Firmicutes
(k)Bacteria,genus,
(o)[Pedosphaerales],genus,Verrucomicrobia
(o)Acidimicrobiales,genus,Actinobacteria
(o)Actinomycetales,genus,Actinobacteria
(o)Bacillales,genus,Firmicutes
(o)Bacteroidales,genus,Bacteroidetes
(o)Clostridiales,genus,Firmicutes
(o)Cytophagales,genus,Bacteroidetes
(o)Flavobacteriales,genus,Bacteroidetes
(o)JG30-KF-CM45,genus,Chloroflexi
(o)Lactobacillales,genus,Firmicutes
(o)RB41,genus,Acidobacteria
(o)Rhizobiales,genus,Proteobacteria
(o)Rhodospirillales,genus,Proteobacteria
(o)SC-I-84,genus,Proteobacteria
(o)Solirubrobacterales,genus,Actinobacteria
(o)Sphingomonadales,genus,Proteobacteria
(p)Cyanobacteria,genus,Cyanobacteria
(p)OD1,genus,OD1
(p)Proteobacteria,genus,Proteobacteria
(p)WPS-2,genus,WPS-2
InnerMiddleOuterBelt,CT,NA
LesionType,CT,NA
MaxDiameter,CT,NA
MEchocolate1,trans,NA
MEdarkmagenta,trans,NA
MEdarkolivegreen,trans,NA
MEdarkorange2,trans,NA
MEdeeppink1,trans,NA
MEgreen4,trans,NA
MElavenderblush,trans,NA
MElightblue1,trans,NA
MElightgoldenrod3,trans,NA
MElightpink2,trans,NA
MElightpink4,trans,NA
MElightskyblue4,trans,NA
MElimegreen,trans,NA
MEmediumblue,trans,NA
MEmintcream,trans,NA
MEmistyrose1,trans,NA
MEnavajowhite2,trans,NA
MEorange3,trans,NA
MEorangered2,trans,NA
MEpalevioletred2,trans,NA
MEpurple,trans,NA
MEpurple2,trans,NA
MEroyalblue1,trans,NA
MEthistle4,trans,NA
MEturquoise4,trans,NA
MEdarkviolet,trans,NA
MEdeeppink2,trans,NA
MEfirebrick2,trans,NA
MEgrey60,trans,NA
MEindianred3,trans,NA
MElavenderblush3,trans,NA
MEmediumorchid2,trans,NA
MEpaleturquoise,trans,NA
MEpaleturquoise1,trans,NA
MEred4,trans,NA
MEsienna3,trans,NA
MEsteelblue3,trans,NA
MEburlywood,trans,NA
MEcoral1,trans,NA
MElightpink1,trans,NA
MEsienna1,trans,NA
MEantiquewhite4,trans,NA
MEblue4,trans,NA
MEcoral4,trans,NA
MEdeeppink,trans,NA
MEdodgerblue4,trans,NA
MEgreen3,trans,NA
MElightblue,trans,NA
MElightskyblue3,trans,NA
MEmagenta1,trans,NA
MEpink1,trans,NA
MEroyalblue2,trans,NA
MEskyblue2,trans,NA
MEslateblue1,trans,NA
MEaliceblue,trans,NA
MEchocolate3,trans,NA
MEdarkturquoise,trans,NA
MEhoneydew1,trans,NA
MElavenderblush2,trans,NA
MElightblue3,trans,NA
MEtomato4,trans,NA
MEbrown4,trans,NA
MElightcyan,trans,NA
MEdarkseagreen3,trans,NA
MElightgreen,trans,NA
MEmediumpurple2,trans,NA
MEnavajowhite1,trans,NA
MEsalmon,trans,NA
MEchocolate,trans,NA
MElightseagreen,trans,NA
MEpaleturquoise4,trans,NA
MErosybrown2,trans,NA
MEsalmon1,trans,NA
MEskyblue1,trans,NA
MEyellow4,trans,NA
MEcoral,trans,NA
MEdarkblue,trans,NA
MEindianred2,trans,NA
MEaquamarine1,trans,NA
MEbrown1,trans,NA
MEchocolate2,trans,NA
MEcyan,trans,NA
MEdarkorchid2,trans,NA
MEdarkorchid3,trans,NA
MEdarkseagreen1,trans,NA
MEdarkseagreen4,trans,NA
MEdeepskyblue4,trans,NA
MEdodgerblue,trans,NA
MEfirebrick3,trans,NA
MEgoldenrod2,trans,NA
MEgoldenrod3,trans,NA
MEgreenyellow,trans,NA
MEhoneydew,trans,NA
MEivory,trans,NA
MElightblue4,trans,NA
MElightskyblue1,trans,NA
MElightslateblue,trans,NA
MEmagenta,trans,NA
MEmagenta2,trans,NA
MEmediumorchid4,trans,NA
MEmediumpurple1,trans,NA
MEnavajowhite4,trans,NA
MEoldlace,trans,NA
MEolivedrab3,trans,NA
MEpalegreen3,trans,NA
MEpaleturquoise3,trans,NA
MEperu,trans,NA
MEplum1,trans,NA
MEplum3,trans,NA
MEsalmon2,trans,NA
MEskyblue3,trans,NA
MEtan4,trans,NA
MEturquoise,trans,NA
MEyellow2,trans,NA
MElemonchiffon4,trans,NA
MEmagenta4,trans,NA
Ctvalue,CT,NA
MEaquamarine,trans,NA
MEcornsilk2,trans,NA
MEseashell3,trans,NA
MEviolet,trans,NA
Segmented,CT,NA
MEmistyrose4,trans,NA
Size_UD,CT,NA
MEblue3,trans,NA
MEdarkslateblue,trans,NA
MEdodgerblue1,trans,NA
MElightpink,trans,NA
MErosybrown3,trans,NA
MEwheat1,trans,NA
MEbisque4,trans,NA
MEblueviolet,trans,NA
MEbrown,trans,NA
MEburlywood1,trans,NA
MEcoral2,trans,NA
MEcornflowerblue,trans,NA
MEcyan1,trans,NA
MEdarkgoldenrod,trans,NA
MEdarkgoldenrod1,trans,NA
MEdarkgoldenrod4,trans,NA
MEdarkgreen,trans,NA
MEdarkorange,trans,NA
MEdarksalmon,trans,NA
MEdarkseagreen,trans,NA
MEdarkseagreen2,trans,NA
MEdodgerblue3,trans,NA
MEfirebrick1,trans,NA
MEfirebrick4,trans,NA
MEgreen1,trans,NA
MEhotpink2,trans,NA
MEindianred,trans,NA
MEindianred4,trans,NA
MEkhaki1,trans,NA
MEkhaki3,trans,NA
MEkhaki4,trans,NA
MElightblue2,trans,NA
MElightcoral,trans,NA
MElightgoldenrod2,trans,NA
MElightpink3,trans,NA
MElightsteelblue,trans,NA
MElightyellow4,trans,NA
MEmidnightblue,trans,NA
MEmistyrose,trans,NA
MEmoccasin,trans,NA
MEolivedrab4,trans,NA
MEorange1,trans,NA
MEorange2,trans,NA
MEpalegreen4,trans,NA
MEplum,trans,NA
MEsteelblue4,trans,NA
MEtan2,trans,NA
MEtomato2,trans,NA
MEwheat3,trans,NA
MEsienna2,trans,NA
MEgoldenrod4,trans,NA
MElightskyblue,trans,NA
Size_FR,CT,NA
MElinen,trans,NA
MEorangered1,trans,NA
MEred1,trans,NA
MEwhitesmoke,trans,NA
MEantiquewhite,trans,NA
MEantiquewhite3,trans,NA
MEpeachpuff3,trans,NA
MEseashell2,trans,NA
MElightgoldenrod4,trans,NA
MEslateblue3,trans,NA
MElemonchiffon3,trans,NA
MEkhaki2,trans,NA
MEorange4,trans,NA
MEdarkolivegreen4,trans,NA
MEblue2,trans,NA
MEturquoise2,trans,NA
MEantiquewhite2,trans,NA
MEblue1,trans,NA
MEburlywood3,trans,NA
Size_LR,CT,NA
MEfloralwhite,trans,NA
MEmediumorchid,trans,NA
MEvioletred1,trans,NA
MElightyellow,trans,NA
MEslateblue4,trans,NA
MEbisque1,trans,NA
MEburlywood2,trans,NA
MElightcyan1,trans,NA
MEpalevioletred,trans,NA
MEsnow,trans,NA
MEmediumorchid3,trans,NA
MErosybrown,trans,NA
MElightsteelblue1,trans,NA
MEmediumorchid1,trans,NA
MEcornsilk,trans,NA
MEgrey,trans,NA
MEpowderblue,trans,NA
MEsteelblue,trans,NA
MEbrown3,trans,NA
MEbrown2,trans,NA
MEfirebrick,trans,NA
MEmistyrose3,trans,NA
MEchartreuse4,trans,NA
MEdarkgoldenrod3,trans,NA
MEdarkgrey,trans,NA
MEseashell4,trans,NA
MEslateblue2,trans,NA
MEvioletred2,trans,NA
MEbisque2,trans,NA
MEbisque3,trans,NA
MEhotpink4,trans,NA
MEroyalblue3,trans,NA
MEslateblue,trans,NA
MEwhite,trans,NA
MEyellow3,trans,NA
MEthistle2,trans,NA
MEdarkorchid4,trans,NA
MEmediumpurple,trans,NA
MEpalevioletred3,trans,NA
MEpink2,trans,NA
MEroyalblue,trans,NA
